xAcc,yAcc,zAcc,xGyro,yGyro,zGyro,label
6.99,-0.57,-7.28,-2.75,-3.23,2.62,fall
6.51,-0.75,-6.93,-0.67,-6.35,4.64,fall
6.22,-0.63,-6.73,0.79,-5.49,3.85,fall
6.34,-0.62,-6.8,1.59,-2.26,0.67,fall
6.49,-0.39,-6.6,0.67,-0.24,-1.1,fall
6.55,-1.26,-6.94,-0.18,1.83,-2.62,fall
6.27,-1.34,-6.97,-2.99,3.85,-1.28,fall
6.67,-1.01,-7.2,-5.31,5.37,0.98,fall
6.79,-0.74,-7.21,-3.23,5.07,-0.49,fall
6.72,-0.46,-7.08,-1.83,2.99,1.22,fall
6.48,-0.64,-7.07,-0.79,1.89,5.62,fall
6.42,-0.83,-7.09,-1.4,2.75,8.73,fall
6.33,-1.04,-7.02,-5.37,3.3,13.37,fall
6.2,-1.3,-7.1,-10.19,3.36,16.66,fall
6.25,-1.33,-7.27,-15.44,4.7,18.74,fall
6.37,-0.81,-7.27,-18.55,5,17.58,fall
6.52,-0.57,-7.24,-17.46,3.3,15.5,fall
6.68,-0.05,-7.29,-12.82,1.71,8.18,fall
6.81,0.14,-7.16,-5.19,1.1,-2.32,fall
6.71,-0.03,-6.92,2.87,-0.18,-7.93,fall
6.47,-0.49,-6.8,8.67,-1.95,-8.73,fall
6.49,-1.09,-6.92,8.73,-2.99,-6.9,fall
6.41,-1.04,-7,5.19,-3.48,-5.19,fall
6.39,-0.77,-7.07,1.71,-2.69,-4.09,fall
6.62,-0.56,-7.13,-1.59,-2.44,-1.77,fall
6.93,-0.32,-7.02,-1.83,-4.82,3.36,fall
7.19,-0.38,-7.16,-0.85,-9.77,8.06,fall
7.27,-0.33,-7.27,-1.46,-15.38,12.76,fall
6.84,-0.19,-6.94,-1.16,-18.25,12.57,fall
6.62,-0.04,-6.92,-0.79,-17.27,8.91,fall
6.6,-0.12,-6.74,-2.01,-14.34,5.8,fall
6.74,-0.28,-6.51,-4.82,-13.12,9.03,fall
6.76,-0.53,-6.55,-10.01,-12.15,14.83,fall
6.72,-0.53,-6.54,-17.82,-9.64,15.99,fall
6.63,-0.23,-6.47,-25.7,-6.9,14.4,fall
6.6,0.19,-6.44,-31.92,-3.42,13.85,fall
6.72,0.63,-6.48,-34.97,-0.24,15.44,fall
6.95,0.84,-6.41,-35.83,1.46,15.44,fall
7.07,1.4,-6.44,-34.67,0.12,14.83,fall
6.85,2.34,-6.56,-29.91,1.83,12.02,fall
11.6,0.48,-7.83,-17.7,-3.05,0.55,fall
7.27,-2.48,-6.78,-12.21,-6.65,13.24,fall
6.6,0.82,-5.82,-19.23,2.14,17.7,fall
6.04,-4.25,-5.7,-13.55,13.67,14.83,fall
4.14,-5.87,-5.09,-36.68,22.03,18.25,fall
6.48,-2.8,-7.08,-51.94,24.17,28.75,fall
8.08,-0.13,-8.13,-42.54,27.95,8.12,fall
7.38,0.41,-6.42,-28.2,16.97,2.93,fall
6.3,-2.06,-6.24,-18.19,7.93,1.22,fall
6.52,-3.95,-6.91,-27.34,4.58,2.01,fall
6.19,-3.02,-6.6,-41.32,1.28,11.23,fall
6.55,-2.16,-7.93,-44.92,-1.89,19.96,fall
6.23,-1.46,-7.7,-42.66,-3.36,25.57,fall
5.81,-0.68,-7.04,-36.99,-4.94,32.17,fall
5.49,-1.02,-6.5,-26.86,-4.27,31.74,fall
5.66,-1.92,-6.37,-21.73,1.65,27.4,fall
5.51,-2.53,-6.85,-19.35,8.85,26.55,fall
5.32,-2.11,-7.38,-19.78,19.65,39.06,fall
11.42,-1.52,-9.56,-15.32,19.1,54.14,fall
8.42,-1.23,-6.28,-8.67,10.74,34.18,fall
5.9,-3.46,-4.39,-24.54,3.72,26.43,fall
6.44,-0.99,-3.33,-34.3,4.94,30.46,fall
8.19,1.84,-5.56,-18.74,-2.44,34.48,fall
8.84,0.47,-7.7,-1.4,-4.46,26.67,fall
7.47,-1.03,-6.74,-0.31,-3.54,14.95,fall
6.04,-1.76,-6.15,-4.21,-3.23,11.29,fall
5.8,-0.3,-6.14,-10.07,-3.85,10.74,fall
5.75,0.07,-6.64,-8.06,-0.92,10.68,fall
5.34,0.15,-6.7,-6.84,4.03,2.08,fall
6.44,0.27,-6.49,-3.54,7.39,-7.75,fall
6.08,-1.08,-6.5,-4.09,8.73,-12.27,fall
4.93,-1.42,-7.31,-7.26,19.17,-7.75,fall
9.42,1.05,-7.17,-2.69,13.49,-6.35,fall
9.27,-1.18,-7.52,12.21,11.41,14.53,fall
